School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,CompletionRate150,Admission Rate (%),RetentionRate,SAT Average,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Saginaw Valley State University,50.28,101148.0,6953.0,22353.0,47.88,89.46,77.37,1086.0,0.0,0.0,1.0
Centre College,93.2,99564.0,1333.0,56645.0,83.16,72.08,89.3,1325.0,0.0,1.0,0.0
SUNY Empire State College,22.53,89832.0,8221.0,19726.0,27.03,80.04153571818459,64.91,1116.6191478438489,0.0,0.0,1.0
Boise Bible College,90.0,54900.0,94.0,24258.0,38.64,90.38,66.67,988.0,0.0,1.0,0.0
West Coast University-Dallas,25.56,88980.0,1182.0,27991.0,100.0,73.06049783903927,0.0,1097.854469249451,1.0,0.0,0.0
California State University-East Bay,44.28,124284.0,13041.0,23357.0,46.75,73.28,78.02,1141.7750082804932,0.0,0.0,1.0
Marian University,54.92,84708.0,2375.0,49112.0,60.3,64.24,83.59,1117.6025370785799,0.0,1.0,0.0
St. Mary's University,66.36999999999999,115932.0,2125.0,42354.0,59.06,85.42999999999999,74.26,1127.0,0.0,1.0,0.0
Concordia University-Chicago,64.27000000000001,53352.0,1452.0,42750.0,50.67,78.53999999999999,70.94,1099.0,0.0,1.0,0.0
Iowa Wesleyan University,42.11,68688.0,650.0,45994.0,29.87,71.19,61.59,959.0,0.0,1.0,0.0
Kentucky State University,96.35,80832.0,1658.0,16885.0,30.0,83.98,78.5,959.0,0.0,0.0,1.0
Ohio Dominican University,100.0,82800.0,942.0,42524.0,52.89,49.5,61.62,1100.0625547986788,0.0,1.0,0.0
University of Delaware,97.98,158328.0,18618.0,28708.0,82.49,65.99000000000001,89.7,1254.0,0.0,0.0,1.0
Baker College,11.44,72420.0,5009.0,19593.0,19.43,53.76,60.59,1042.3030066712247,0.0,1.0,0.0
Thomas University,39.34,62376.0,674.0,27354.0,44.78,34.52,59.3,881.0,0.0,1.0,0.0
University of the Ozarks,81.36,80160.0,831.0,34832.0,47.370000000000005,55.900000000000006,69.38,1070.0,0.0,1.0,0.0
Athens State University,50.0,104196.0,2629.0,47369.31340342637,67.298722662,68.47038261661207,83.8533145639901,1149.2766459540164,0.0,0.0,1.0
SUNY College at Oswego,67.03,87096.0,6623.0,24970.0,64.83,68.89999999999999,81.34,1112.0,0.0,0.0,1.0
Endicott College,25.74,127896.0,3003.0,52642.0,78.51,70.39999999999999,83.22,1182.7519359403184,0.0,1.0,0.0
The University of Tennessee-Knoxville,87.46000000000001,134040.0,24146.0,32010.0,71.12,78.14999999999999,88.64,1294.0,0.0,0.0,1.0
Western Kentucky University,72.41,93648.0,13086.0,21084.0,52.31,97.75,76.79,1130.0,0.0,0.0,1.0
Lock Haven University,89.03999999999999,125532.0,2564.0,25916.0,49.95,93.08,73.18,1030.0,0.0,0.0,1.0
Cedar Crest College,41.36,94824.0,1078.0,52279.0,62.35000000000001,52.46,79.51,1072.0,0.0,1.0,0.0
University of Rhode Island,69.12,118032.0,13971.0,30339.0,70.61,75.51,85.46000000000001,1183.0,0.0,0.0,1.0
Faith Baptist Bible College and Theological Seminary,40.82,62652.0,288.0,28069.0,51.72,67.60000000000001,72.34,1152.0,0.0,1.0,0.0
Maine Maritime Academy,77.06,149316.0,925.0,28208.0,74.25,52.14,77.31,1085.0,0.0,0.0,1.0
Brigham Young University-Hawaii,100.0,121512.0,3107.0,19641.0,66.83,75.02,64.03999999999999,1166.0,0.0,1.0,0.0
