School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Monthly Salary,Student Enrollment Size,RetentionRate_4yr,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Female_Majority,MeanEarningsGenderDiff10
Alabama A & M University,AL,Public,99.6,7599.0,5090.0,54.03,23445.0,28.660000000000004,89.64999999999999,959.0,500.0,520.0,457.0,28400.0,35500.0,True,5900.0
University of Alabama at Birmingham,AL,Public,76.19,11380.0,13549.0,86.4,25542.0,61.17,80.60000000000001,1245.0,660.0,668.0,,39400.0,48400.0,True,14200.0
University of Alabama in Huntsville,AL,Public,67.02,9697.0,7825.0,81.8,24861.0,57.14,77.11,1300.0,730.0,700.0,,40300.0,52000.0,False,12700.0
Alabama State University,AL,Public,67.97,7194.0,3603.0,62.02,21892.0,31.77,98.88,938.0,518.0,531.0,,24400.0,30600.0,True,4700.0
The University of Alabama,AL,Public,77.07000000000001,10349.0,30610.0,87.22999999999999,30016.0,72.14,80.39,1262.0,670.0,660.0,600.0,42400.0,51600.0,True,14000.0
Athens State University,AL,Public,50.0,8683.0,2629.0,,,,,,,,,36200.0,42400.0,True,16100.0
Auburn University at Montgomery,AL,Public,70.87,7729.0,4301.0,69.72,20225.0,30.4,95.55,1061.0,515.0,575.0,,32100.0,38000.0,True,10400.0
Auburn University,AL,Public,86.53999999999999,10722.0,24368.0,91.97,32196.0,78.7,85.07000000000001,1302.0,670.0,650.0,620.0,43100.0,56300.0,False,15800.0
Birmingham-Southern College,AL,Private NonProfit,77.7,6961.0,1129.0,79.52,32514.0,70.94,60.45,1202.0,580.0,610.0,,36700.0,53100.0,True,13500.0
South University-Montgomery,AL,Private ForProfit,14.08,4930.0,289.0,60.0,28761.0,14.29,,,,,,32500.0,40200.0,True,8400.0
Faulkner University,AL,Private NonProfit,53.900000000000006,5926.0,1834.0,60.47,34835.0,27.11,75.76,1068.0,585.0,590.0,510.0,33400.0,40700.0,True,19700.0
Huntingdon College,AL,Private NonProfit,75.94999999999999,6886.0,917.0,69.92,37483.0,41.85,54.39000000000001,1101.0,568.0,590.0,,34600.0,43600.0,False,6500.0
Heritage Christian University,AL,Private NonProfit,100.0,5914.0,70.0,100.0,,14.29,66.67,,,,560.0,,,False,
Jacksonville State University,AL,Public,78.03,7326.0,6776.0,73.38,21560.0,45.51,63.690000000000005,1084.0,540.0,530.0,,31800.0,38100.0,True,8500.0
University of West Alabama,AL,Public,46.72,6551.0,2247.0,62.5,22645.0,40.11,93.13,1035.0,,,530.0,29700.0,40400.0,True,12600.0
Miles College,AL,Private NonProfit,75.44999999999999,4971.0,1438.0,55.26,22684.0,23.51,,,,,,23100.0,29500.0,True,3600.0
University of Mobile,AL,Private NonProfit,100.0,5265.0,1164.0,78.2,36890.0,48.9,66.57,,,,,32700.0,38700.0,True,7600.0
University of Montevallo,AL,Public,64.71000000000001,7623.0,2186.0,78.42,26018.0,54.15,60.52,1131.0,615.0,600.0,585.0,28000.0,36100.0,True,8800.0
University of North Alabama,AL,Public,66.31,8985.0,5411.0,77.33,21502.0,49.95,82.66,,,,,32100.0,42800.0,True,10600.0
Oakwood University,AL,Private NonProfit,80.07,4705.0,1320.0,74.25,37764.0,50.0,88.81,,,,,25800.0,37400.0,True,9000.0
Samford University,AL,Private NonProfit,98.73,9007.0,3573.0,87.11,49634.0,77.2,83.99,1219.0,600.0,640.0,610.0,45200.0,59800.0,True,22700.0
University of South Alabama,AL,Public,62.8,7507.0,8787.0,76.44,21694.0,44.91,73.03,1162.0,580.0,610.0,560.0,35100.0,46800.0,True,19700.0
Spring Hill College,AL,Private NonProfit,68.64,6040.0,1058.0,81.16,55844.0,56.91,54.16,1125.0,560.0,590.0,,34800.0,51300.0,True,16800.0
Stillman College,AL,Private NonProfit,72.88,5300.0,699.0,56.28,27665.0,21.51,55.53,,,,,24900.0,33700.0,True,3000.0
Talladega College,AL,Private NonProfit,56.940000000000005,6100.0,1142.0,64.56,24220.0,30.14,,,,,,24200.0,23900.0,True,-3100.0
Troy University,AL,Public,53.75,6785.0,12294.0,77.07000000000001,21251.0,50.17,92.43,1094.0,540.0,565.0,,34300.0,41100.0,True,13900.0
Tuskegee University,AL,Private NonProfit,87.18,7224.0,2280.0,77.03,40750.0,51.89,61.13,1016.0,520.0,525.0,,34500.0,42200.0,True,4900.0
United States Sports Academy,AL,Private NonProfit,45.45,5745.0,130.0,,,,,,,,,35700.0,,False,
University of Alaska Anchorage,AK,Public,51.81,9375.0,8257.0,68.19,18946.0,30.12,76.83,,,,,41500.0,51200.0,True,18600.0
Alaska Bible College,AK,Private NonProfit,,,36.0,66.67,25250.0,62.5,,,,,,,,False,
University of Alaska Fairbanks,AK,Public,61.31,9658.0,4259.0,78.16,19135.0,38.7,67.01,1138.0,630.0,640.0,570.0,36500.0,45100.0,True,22100.0
Alaska Pacific University,AK,Private NonProfit,48.51,6340.0,298.0,55.56,34350.0,55.56,90.65,,,,520.0,37500.0,45300.0,True,17200.0
Arizona State University Campus Immersion,AZ,Public,74.26,11250.0,62633.0,86.2,27056.0,66.01,88.37,1207.0,670.0,650.0,,42200.0,55500.0,False,17000.0
University of Arizona,AZ,Public,77.84,10305.0,34659.0,85.47,27461.0,64.89,85.13,1220.0,690.0,660.0,,41800.0,56000.0,True,14800.0
Embry-Riddle Aeronautical University-Prescott,AZ,Private NonProfit,72.2,9256.0,2959.0,82.17999999999999,54536.0,59.16,66.85,1238.0,670.0,650.0,,51400.0,70300.0,False,8300.0
Grand Canyon University,AZ,Private ForProfit,8.219999999999999,6870.0,62424.0,73.55000000000001,31376.0,46.57,80.69,,,,,36000.0,58500.0,True,11400.0
Northern Arizona University,AZ,Public,67.83,8931.0,24880.0,76.25999999999999,27969.0,56.87,81.64,,,,,36900.0,44600.0,True,12100.0
Prescott College,AZ,Private NonProfit,25.790000000000003,5423.0,413.0,58.81999999999999,43649.0,48.78,98.42,1141.0,610.0,680.0,580.0,28500.0,34300.0,True,6300.0
Arizona Christian University,AZ,Private NonProfit,28.09,5102.0,883.0,46.58,44585.0,43.79,71.47,1031.0,550.0,570.0,,32600.0,34900.0,False,
University of Arkansas at Little Rock,AR,Public,100.0,9822.0,5620.0,73.09,20416.0,41.69,56.04,1098.0,580.0,610.0,510.0,34600.0,39500.0,True,10200.0
University of Arkansas for Medical Sciences,AR,Public,88.24,10144.0,838.0,,,,,,,,,68000.0,69000.0,True,32800.0
Lyon College,AR,Private NonProfit,100.0,6548.0,665.0,68.78999999999999,41396.0,42.52,50.14999999999999,1198.0,585.0,580.0,560.0,31400.0,44800.0,False,16100.0
University of Arkansas,AR,Public,88.25,9951.0,22624.0,84.71,23997.0,68.5,77.66999999999999,1236.0,640.0,640.0,,40900.0,52700.0,True,12100.0
University of Arkansas at Pine Bluff,AR,Public,80.62,5885.0,2440.0,74.17,19541.0,38.92,59.66,900.0,500.0,500.0,485.0,23900.0,30600.0,True,1500.0
Arkansas State University,AR,Public,100.0,7240.0,7739.0,79.05,23009.0,53.010000000000005,67.19000000000001,1149.0,630.0,590.0,480.0,30900.0,36600.0,True,10800.0
Arkansas Tech University,AR,Public,99.46,6829.0,7384.0,67.21000000000001,19361.0,44.22,97.66,,,,,31600.0,38600.0,True,14400.0
University of Central Arkansas,AR,Public,78.22,7166.0,8237.0,78.84,23185.0,45.73,93.78,1166.0,570.0,580.0,550.0,32600.0,42500.0,True,9500.0
Central Baptist College,AR,Private NonProfit,26.47,5510.0,554.0,56.73,26390.0,38.46,49.81,1041.0,535.0,565.0,450.0,34200.0,43000.0,False,15400.0
