School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),RetentionRate_4yr,Female_Majority,SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Percent of Students Earning >$25K (6 Yrs after Entry),Percent of Students Earning >$25K (10 Yrs after Entry),LowIncRatio_10yr,HighIncRatio_10yr,LowIncRatio_6yr,HighIncRatio_6yr,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry)
Alabama A & M University,AL,Public,99.6,91188.0,5090.0,23445.0,28.660000000000004,89.64999999999999,54.03,True,959.0,500.0,520.0,457.0,45.3,599000.0,0.09017681728880157,0.03261296660117878,0.1793713163064833,0.028290766208251474,28400.0,35500.0
University of Alabama at Birmingham,AL,Public,76.19,136560.0,13549.0,25542.0,61.17,80.60000000000001,86.4,True,1245.0,660.0,668.0,,66.9,747000.0,0.09624326518562255,0.04790021403793638,0.10842128570374197,0.055354638718724626,39400.0,48400.0
University of Alabama in Huntsville,AL,Public,67.02,116364.0,7825.0,24861.0,57.14,77.11,81.8,False,1300.0,730.0,700.0,,68.5,779000.0000000001,0.08715654952076678,0.04830670926517572,0.08753993610223643,0.04523961661341853,40300.0,52000.0
Alabama State University,AL,Public,67.97,86328.0,3603.0,21892.0,31.77,98.88,62.02,True,938.0,518.0,531.0,,39.3,528000.0,0.4215931168470719,0.041909519844573966,0.3300027754648904,0.034415764640577294,24400.0,30600.0
The University of Alabama,AL,Public,77.07000000000001,124188.0,30610.0,30016.0,72.14,80.39,87.22999999999999,True,1262.0,670.0,660.0,600.0,69.5,786000.0000000001,0.046520744854622674,0.06612218229336818,0.057268866383534796,0.07732767069585103,42400.0,51600.0
Athens State University,AL,Public,50.0,104196.0,2629.0,,,,,True,,,,,65.3,747000.0,0.200076074553062,0.0498288322556105,0.2400152149106124,0.058577405857740586,36200.0,42400.0
Auburn University at Montgomery,AL,Public,70.87,92748.0,4301.0,20225.0,30.4,95.55,69.72,True,1061.0,515.0,575.0,,61.6,657000.0,0.17182050685887004,0.04580330155777726,0.21064868635201117,0.06207858637526157,32100.0,38000.0
Auburn University,AL,Public,86.53999999999999,128664.0,24368.0,32196.0,78.7,85.07000000000001,91.97,False,1302.0,670.0,650.0,620.0,74.1,823000.0,0.04583880499015102,0.07784799737360473,0.04300722258699934,0.07251313197636244,43100.0,56300.0
Birmingham-Southern College,AL,Private NonProfit,77.7,83532.0,1129.0,32514.0,70.94,60.45,79.52,True,1202.0,580.0,610.0,,63.7,791000.0000000001,0.09034543844109831,0.11691762621789194,0.05225863596102746,0.10097431355181577,36700.0,53100.0
South University-Montgomery,AL,Private ForProfit,14.08,59160.0,289.0,28761.0,14.29,,60.0,True,,,,,57.99999999999999,603000.0,12.8719723183391,1.8408304498269896,57.346020761245676,2.615916955017301,32500.0,40200.0
