School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),RetentionRate_4yr,Female_Majority,SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Percent of Students Earning >$25K (6 Yrs after Entry),Percent of Students Earning >$25K (10 Yrs after Entry),LowIncRatio_10yr,HighIncRatio_10yr,LowIncRatio_6yr,HighIncRatio_6yr,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry)
Alabama A & M University,AL,Public,99.6,91188.0,5090.0,23445.0,28.660000000000004,89.64999999999999,54.03,True,959.0,500.0,520.0,457.0,45.3,5990.0,0.0901768172888015,0.0326129666011787,0.1793713163064833,0.0282907662082514,28400.0,35500.0
University of Alabama at Birmingham,AL,Public,76.19,136560.0,13549.0,25542.0,61.17,80.60000000000001,86.4,True,1245.0,660.0,668.0,,66.9,7470.0,0.0962432651856225,0.0479002140379363,0.1084212857037419,0.0553546387187246,39400.0,48400.0
University of Alabama in Huntsville,AL,Public,67.02,116364.0,7825.0,24861.0,57.14,77.11,81.8,False,1300.0,730.0,700.0,,68.5,7790.000000000001,0.0871565495207667,0.0483067092651757,0.0875399361022364,0.0452396166134185,40300.0,52000.0
Alabama State University,AL,Public,67.97,86328.0,3603.0,21892.0,31.77,98.88,62.02,True,938.0,518.0,531.0,,39.3,5280.0,0.4215931168470719,0.0419095198445739,0.3300027754648904,0.0344157646405772,24400.0,30600.0
The University of Alabama,AL,Public,77.07000000000001,124188.0,30610.0,30016.0,72.14,80.39,87.22999999999999,True,1262.0,670.0,660.0,600.0,69.5,7860.000000000001,0.0465207448546226,0.0661221822933681,0.0572688663835347,0.077327670695851,42400.0,51600.0
Athens State University,AL,Public,50.0,104196.0,2629.0,,,,,True,,,,,65.3,7470.0,0.200076074553062,0.0498288322556105,0.2400152149106124,0.0585774058577405,36200.0,42400.0
Auburn University at Montgomery,AL,Public,70.87,92748.0,4301.0,20225.0,30.4,95.55,69.72,True,1061.0,515.0,575.0,,61.6,6570.0,0.17182050685887,0.0458033015577772,0.2106486863520111,0.0620785863752615,32100.0,38000.0
Auburn University,AL,Public,86.53999999999999,128664.0,24368.0,32196.0,78.7,85.07000000000001,91.97,False,1302.0,670.0,650.0,620.0,74.1,8230.0,0.045838804990151,0.0778479973736047,0.0430072225869993,0.0725131319763624,43100.0,56300.0
Birmingham-Southern College,AL,Private NonProfit,77.7,83532.0,1129.0,32514.0,70.94,60.45,79.52,True,1202.0,580.0,610.0,,63.7,7910.000000000001,0.0903454384410983,0.1169176262178919,0.0522586359610274,0.1009743135518157,36700.0,53100.0
South University-Montgomery,AL,Private ForProfit,14.08,59160.0,289.0,28761.0,14.29,,60.0,True,,,,,57.99999999999999,6030.0,12.8719723183391,1.8408304498269896,57.34602076124568,2.615916955017301,32500.0,40200.0
Faulkner University,AL,Private NonProfit,53.900000000000006,71112.0,1834.0,34835.0,27.11,75.76,60.47,True,1068.0,585.0,590.0,510.0,61.4,6880.0,0.3904034896401309,0.1052344601962922,0.4285714285714285,0.1085059978189749,33400.0,40700.0
Huntingdon College,AL,Private NonProfit,75.94999999999999,82632.0,917.0,37483.0,41.85,54.39000000000001,69.92,False,1101.0,568.0,590.0,,61.2,7180.0,0.1494002181025081,0.1221374045801526,0.1995637949836423,0.1428571428571428,34600.0,43600.0
Jacksonville State University,AL,Public,78.03,87912.0,6776.0,21560.0,45.51,63.690000000000005,73.38,True,1084.0,540.0,530.0,,54.8,6730.000000000001,0.1769480519480519,0.0622786304604486,0.188164108618654,0.0749704840613931,31800.0,38100.0
University of West Alabama,AL,Public,46.72,78612.0,2247.0,22645.0,40.11,93.13,62.5,True,1035.0,,,530.0,50.3,6810.000000000001,0.2398753894080997,0.0462839341344014,0.2679127725856697,0.0596350689808633,29700.0,40400.0
Miles College,AL,Private NonProfit,75.44999999999999,59652.0,1438.0,22684.0,23.51,,55.26,True,,,,,37.4,5100.0,0.5132127955493742,0.0361613351877607,0.4499304589707927,0.0333796940194714,23100.0,29500.0
University of Mobile,AL,Private NonProfit,100.0,63180.0,1164.0,36890.0,48.9,66.57,78.2,True,,,,,57.8,6810.000000000001,0.1503436426116838,0.095360824742268,0.2207903780068728,0.1323024054982818,32700.0,38700.0
University of Montevallo,AL,Public,64.71000000000001,91476.0,2186.0,26018.0,54.15,60.52,78.42,True,1131.0,615.0,600.0,585.0,55.3,6600.0,0.1308325709057639,0.0992680695333943,0.1550777676120768,0.1056724611161939,28000.0,36100.0
University of North Alabama,AL,Public,66.31,107820.0,5411.0,21502.0,49.95,82.66,77.33,True,,,,,56.7,7120.0,0.1350951764923304,0.0491591203104786,0.1474773609314359,0.0694880798373683,32100.0,42800.0
Oakwood University,AL,Private NonProfit,80.07,56460.0,1320.0,37764.0,50.0,88.81,74.25,True,,,,,41.8,6040.0,0.1477272727272727,0.075,0.1621212121212121,0.084090909090909,25800.0,37400.0
Samford University,AL,Private NonProfit,98.73,108084.0,3573.0,49634.0,77.2,83.99,87.11,True,1219.0,600.0,640.0,610.0,73.8,8269.999999999998,0.0349846067730198,0.0864819479429051,0.0414217744192555,0.0694094598376714,45200.0,59800.0
University of South Alabama,AL,Public,62.8,90084.0,8787.0,21694.0,44.91,73.03,76.44,True,1162.0,580.0,610.0,560.0,62.3,7030.0,0.1777626038465915,0.0689655172413793,0.1989302378513713,0.0953681575054057,35100.0,46800.0
