School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Waynesburg University,37.56,82308.0,1244.0,37431.0,65.25999999999999,89.96,78.81,1082.0,0.0,0.0,1.0,0.0
Franklin University,6.67,113928.0,3738.0,23956.0,41.8,78.7313127474094,8.540000000000001,1106.4073511880115,0.0,0.0,1.0,0.0
Rush University,74.61,130680.0,104.0,19370.818623503954,19.17534934866929,55.47036094494837,5.366662284614706,1285.0774605575834,0.0,0.0,1.0,0.0
Flagler College,48.06,90684.0,2671.0,35809.0,57.65,56.49,69.06,1125.0,0.0,0.0,1.0,0.0
Medaille College,28.93,67740.0,1394.0,36840.0,37.31,71.8,54.620000000000005,1064.9099872786137,0.0,0.0,1.0,0.0
The University of Montana-Western,66.03999999999999,85092.0,1281.0,17790.0,47.04,51.85999999999999,73.05,1001.0,0.0,0.0,0.0,1.0
Lake Superior State University,95.15,81144.0,1651.0,23239.0,50.88,69.5,73.21,1050.0,0.0,0.0,0.0,1.0
University of San Diego,50.53,150936.0,5454.0,70440.0,80.47999999999999,58.7,84.22,1417.0754680751613,0.0,0.0,1.0,0.0
Polytechnic University of Puerto Rico-Miami,63.1532685644528,44832.0,80.0,29670.0,100.0,70.33667482375726,100.0,1055.0045252826853,0.0,0.0,1.0,0.0
Haverford College,89.19,124428.0,1306.0,76384.0,92.56,18.23,88.42999999999999,1459.0,0.0,0.0,1.0,0.0
Spring Hill College,68.64,72480.0,1058.0,55844.0,56.91,54.16,81.16,1125.0,0.0,0.0,1.0,0.0
Amherst College,93.91,154128.0,1745.0,76750.0,94.67,11.83,91.49,1497.0,0.0,0.0,1.0,0.0
The University of Alabama,77.07000000000001,124188.0,30610.0,30016.0,72.14,80.39,87.22999999999999,1262.0,0.0,0.0,0.0,1.0
Pontifical Catholic University of Puerto Rico-Mayaguez,63.41,47424.0,894.0,14135.0,31.06,96.56,71.81,1004.7920919021562,0.0,0.0,1.0,0.0
Maranatha Baptist University,54.64,55608.0,589.0,27793.0,55.56,80.5,82.69,1192.0,0.0,0.0,1.0,0.0
University of Maine at Fort Kent,39.74,80244.0,862.0,18521.0,39.06,99.83,67.74,1008.851033778439,0.0,0.0,0.0,1.0
Youngstown State University,100.0,103152.0,9112.0,18929.0,47.36,69.93,76.25999999999999,1083.0,0.0,0.0,0.0,1.0
Abilene Christian University,68.46,99888.0,3480.0,51577.0,65.98,63.4,76.5,1150.0,0.0,0.0,1.0,0.0
The College of Wooster,86.4,96108.0,1924.0,66108.0,73.99,65.3,87.08,1192.6059020805799,0.0,0.0,1.0,0.0
University of Massachusetts-Lowell,63.98,146712.0,13364.0,29174.0,68.73,75.2,83.96000000000001,1232.0,0.0,0.0,0.0,1.0
Oregon State University,79.58,125232.0,26048.0,27595.0,69.32000000000001,82.21000000000001,84.55,1204.0,0.0,0.0,0.0,1.0
Lycoming College,82.61,92916.0,1054.0,57132.0,61.83,65.48,72.94,1117.0,0.0,0.0,1.0,0.0
Tufts University,64.56,151392.0,6053.0,76151.0,93.91,16.3,92.24,1474.0,0.0,0.0,1.0,0.0
