School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Clarks Summit University,100.0,53640.0,483.0,33826.0,68.17999999999999,61.89,78.69,1008.2051253887022,0.0,0.0,1.0,0.0
Eastern Oregon University,56.85,91200.0,2415.0,22408.0,28.01,94.25,70.07,1026.620998830982,0.0,0.0,0.0,1.0
East Carolina University,80.67999999999999,102732.0,21766.0,22301.0,65.21000000000001,87.92,83.46000000000001,1100.0,0.0,0.0,0.0,1.0
Trinity Christian College,48.7,85344.0,933.0,42996.0,63.68000000000001,63.66,80.0,1103.0,0.0,0.0,1.0,0.0
Saint Francis Medical Center College of Nursing,78.0,86268.0,283.0,45315.16736266567,74.19710696544945,66.79991055964109,72.07450351724289,1115.6630570520872,0.0,0.0,1.0,0.0
Miami University-Middletown,100.0,94800.0,1308.0,15072.0,15.06,82.08770079163794,65.89,1113.8899004407758,0.0,0.0,0.0,1.0
Hodges University,15.909999999999998,75336.0,593.0,25637.0,28.04,73.08241410112231,50.0,1017.1061364023366,0.0,0.0,1.0,0.0
Texas A & M University-College Station,87.21,146772.0,54942.0,29920.0,82.53,63.27,94.39,1300.0,0.0,0.0,0.0,1.0
The University of Alabama,77.07000000000001,124188.0,30610.0,30016.0,72.14,80.39,87.22999999999999,1262.0,0.0,0.0,0.0,1.0
Universidad Ana G. Mendez-Carolina Campus,100.0,41280.0,6574.0,13136.0,37.830000000000005,65.0195699690372,72.66,985.2454255803029,0.0,0.0,1.0,0.0
Albertus Magnus College,40.99,89712.0,1076.0,49375.0,49.04,81.26,71.95,1088.524217254148,0.0,0.0,1.0,0.0
Ohio Dominican University,100.0,82800.0,942.0,42524.0,52.89,49.5,61.62,1106.5198493681503,0.0,0.0,1.0,0.0
University of Louisville,53.55,97116.0,14309.0,28247.0,60.34,65.12,80.94,1198.0,0.0,0.0,0.0,1.0
Spring Hill College,68.64,72480.0,1058.0,55844.0,56.91,54.16,81.16,1125.0,0.0,0.0,1.0,0.0
Pepperdine University,49.61,153888.0,3457.0,75312.0,88.55,41.85,84.67,1314.0,0.0,0.0,1.0,0.0
Lycoming College,82.61,92916.0,1054.0,57132.0,61.83,65.48,72.94,1117.0,0.0,0.0,1.0,0.0
McNeese State University,100.0,82908.0,5825.0,19489.0,43.5,63.3,71.63000000000001,1136.0,0.0,0.0,0.0,1.0
Trine University,50.970000000000006,90996.0,2254.0,47142.0,60.92,78.94,84.47,1130.0,0.0,0.0,1.0,0.0
Barclay College,48.65,59280.0,166.0,34250.0,41.46,47.98,79.31,1045.5454567434488,0.0,0.0,1.0,0.0
SUNY Cortland,58.95,82512.0,6243.0,25585.0,67.31,52.2,84.76,1164.0,0.0,0.0,0.0,1.0
Bethany College,100.0,65448.0,742.0,49294.0,34.04,68.32000000000001,49.8,1035.0,0.0,0.0,1.0,0.0
Laguna College of Art and Design,21.21,111816.0,732.0,50805.0,67.16,82.92,76.87,1202.8607592684705,0.0,0.0,1.0,0.0
Nicholls State University,100.0,77244.0,5664.0,21275.0,45.48,93.29,75.49,1104.0,0.0,0.0,0.0,1.0
Caribbean University-Bayamon,21.65,27408.0,636.0,9136.0,25.09,79.8902479138264,73.97,980.1934834091898,0.0,0.0,1.0,0.0
Virginia State University,65.36,91572.0,3653.0,23673.0,46.2,96.26,62.44,916.0,0.0,0.0,0.0,1.0
Mercy College of Ohio,30.04,83916.0,1493.0,22784.0,48.57,39.51,70.59,1030.0,0.0,0.0,1.0,0.0
Illinois Wesleyan University,61.92999999999999,101388.0,1628.0,63174.0,81.98,56.93,86.55000000000001,1233.0,0.0,0.0,1.0,0.0
Charleston Southern University,66.12,71832.0,2698.0,40177.0,44.34,53.790000000000006,70.24000000000001,1091.0,0.0,0.0,1.0,0.0
Wiley College,64.29,57984.0,615.0,23938.0,31.0,70.07266820723929,70.27,988.477540901772,0.0,0.0,1.0,0.0
Wofford College,86.31,99912.0,1760.0,62262.0,80.49,53.0,88.61,1170.4693829402468,0.0,0.0,1.0,0.0
Webster University,100.0,105276.0,2535.0,44260.0,55.14,53.12,77.0,1170.0,0.0,0.0,1.0,0.0
Long Island University,43.93,147156.0,6000.0,50591.0,44.34,85.00999999999999,76.73,1194.0,0.0,0.0,1.0,0.0
The University of Tennessee Southern,100.0,68292.0,709.0,40576.0,32.14,98.34,57.08,1047.0,0.0,0.0,1.0,0.0
Rowan University,52.3,108648.0,15708.0,34987.0,68.07,78.01,84.11,1150.0,0.0,0.0,0.0,1.0
Framingham State University,64.78,112896.0,3384.0,25810.0,60.650000000000006,78.53,69.13,1044.0,0.0,0.0,0.0,1.0
Wright State University-Lake Campus,65.85,117072.0,1364.0,15648.0,36.89,99.61,65.47,1085.0,0.0,0.0,0.0,1.0
Menlo College,17.169999999999998,112716.0,825.0,62162.0,53.55,64.51,71.13000000000001,1230.7742216912116,0.0,0.0,1.0,0.0
Chatham University,100.0,96036.0,1119.0,52968.0,61.760000000000005,66.19,76.42999999999999,1162.804387630397,0.0,0.0,1.0,0.0
Mansfield University of Pennsylvania,76.47,123060.0,1614.0,24278.0,50.83,96.02,78.36,1041.0,0.0,0.0,0.0,1.0
Nazarene Bible College,100.0,53748.0,351.0,32852.90877808649,55.56,56.681988809993946,65.56123670806723,987.0353717498017,0.0,0.0,1.0,0.0
Johnson & Wales University-Charlotte,100.0,112860.0,1391.0,50200.0,56.56,82.27,65.45,1186.7607535069326,0.0,0.0,1.0,0.0
Molloy College,27.26,130452.0,3401.0,46531.0,72.86,74.14,87.69,1172.0,0.0,0.0,1.0,0.0
San Francisco Conservatory of Music,100.0,172104.0,243.0,69135.0,69.23,45.62,79.25,1438.6590233118482,0.0,0.0,1.0,0.0
Strayer University-West Virginia,11.76,154932.0,307.0,42200.48596984302,95.50922158685383,47.15101992668191,61.976832269354034,1347.236969088108,0.0,1.0,0.0,0.0
University of Mary,60.63,92892.0,2178.0,30194.0,58.67,71.67999999999999,78.42,1143.0,0.0,0.0,1.0,0.0
Hobart William Smith Colleges,87.21,102444.0,1812.0,74375.0,76.79,61.84,80.53,1279.0,0.0,0.0,1.0,0.0
Blackburn College,67.92,77784.0,484.0,32584.0,45.18,55.17999999999999,69.37,1006.0,0.0,0.0,1.0,0.0
Nyack College,35.08,84612.0,1171.0,38589.0,42.92,97.32,57.830000000000005,965.0,0.0,0.0,1.0,0.0
Albany College of Pharmacy and Health Sciences,76.14999999999999,112044.0,683.0,50326.0,74.65,75.19,85.41,1238.0,0.0,0.0,1.0,0.0
Thomas Jefferson University,38.65,112164.0,3740.0,60290.0,69.65,69.84,83.66,1179.0,0.0,0.0,1.0,0.0
Keystone College,23.200000000000003,75168.0,1178.0,39200.0,44.63,78.74,67.47999999999999,991.0,0.0,0.0,1.0,0.0
Oklahoma Panhandle State University,55.06,56532.0,1245.0,15443.0,26.72,67.51489109851468,44.5,956.3396390620858,0.0,0.0,0.0,1.0
Minnesota State University Moorhead,65.45,112476.0,4207.0,22525.0,54.86,66.05,70.47,1106.0,0.0,0.0,0.0,1.0
Benedictine College,54.81,80484.0,1980.0,46309.0,65.02,96.78,83.59,1213.0,0.0,0.0,1.0,0.0
University of South Florida,71.99,125580.0,37002.0,21134.0,73.66,49.24,91.81,1256.0,0.0,0.0,0.0,1.0
Eagle Gate College-Murray,32.0,72624.0,241.0,22097.0,41.94,70.00749178718235,73.68,971.732666651597,0.0,1.0,0.0,0.0
Hiram College,100.0,75672.0,891.0,50555.0,49.64,92.77,74.89,1037.0,0.0,0.0,1.0,0.0
The University of Tennessee-Martin,67.17999999999999,90456.0,5151.0,21200.0,53.67,64.95,73.77,1170.0,0.0,0.0,0.0,1.0
DeSales University,36.24,97668.0,2352.0,54300.0,64.78,81.77,81.42,1139.0,0.0,0.0,1.0,0.0
Cornell College,100.0,90384.0,996.0,58201.0,67.43,82.41000000000001,74.07000000000001,1224.0,0.0,0.0,1.0,0.0
University of North Carolina Wilmington,72.3,103296.0,14326.0,24837.0,73.52,67.97,84.08,1226.0,0.0,0.0,0.0,1.0
Upstate Medical University,72.38,82644.0,205.0,32282.029406303238,70.15971886584974,65.2954620746427,71.69103286132695,1094.4698776955888,0.0,0.0,0.0,1.0
The College of Westchester,28.57,73416.0,829.0,29294.0,51.11,88.37,72.46000000000001,1022.1997216218007,0.0,1.0,0.0,0.0
Lindenwood University,100.0,100764.0,4780.0,30609.0,46.75,92.13,74.87,1111.0,0.0,0.0,1.0,0.0
Lander University,53.05,78036.0,3279.0,24474.0,48.82,57.03,74.66000000000001,1015.0,0.0,0.0,0.0,1.0
Bucknell University,96.0,139272.0,3684.0,75400.0,87.85,37.53,92.2,1353.0,0.0,0.0,1.0,0.0
Polytechnic University of Puerto Rico-Miami,58.81286957657419,44832.0,80.0,29670.0,100.0,56.01522828638774,100.0,993.6941462684282,0.0,0.0,1.0,0.0
University of Central Arkansas,78.22,85992.0,8237.0,23185.0,45.73,93.78,78.84,1166.0,0.0,0.0,0.0,1.0
Indiana University of Pennsylvania-Main Campus,88.78,123408.0,7702.0,28442.0,54.2,93.1,72.11999999999999,1036.0,0.0,0.0,0.0,1.0
University of Cincinnati-Main Campus,59.56,123708.0,27425.0,26892.0,72.81,76.4,88.2,1245.0,0.0,0.0,0.0,1.0
Art Center College of Design,26.61,96108.0,1907.0,66046.0,71.43,76.09,77.99000000000001,1162.637321603257,0.0,0.0,1.0,0.0
Marietta College,100.0,90204.0,1121.0,49601.0,52.66,73.91,77.3,1120.0,0.0,0.0,1.0,0.0
Montana Technological University,75.0,95808.0,1418.0,21124.0,57.49,97.27,80.15,1192.0,0.0,0.0,0.0,1.0
Louisiana College,63.96,68952.0,868.0,27669.0,33.62,71.16,61.18,1082.0,0.0,0.0,1.0,0.0
Kansas Wesleyan University,100.0,70392.0,743.0,44254.0,47.18,61.79,63.83,1035.4007890220148,0.0,0.0,1.0,0.0
Chamberlain University-Virginia,11.11,97488.0,622.0,45574.29257621001,50.0,63.63999999999999,100.0,1129.4621347054579,0.0,1.0,0.0,0.0
Ottawa University-Ottawa,100.0,75900.0,719.0,47369.0,36.69,70.3,59.89,1012.0,0.0,0.0,1.0,0.0
Northwestern College,100.0,81276.0,1040.0,45760.0,68.57,73.77,78.97,1146.0,0.0,0.0,1.0,0.0
Voorhees College,59.260000000000005,60156.0,368.0,26306.0,41.18,67.13123854249451,54.6,1003.5375575873318,0.0,0.0,1.0,0.0
Drake University,67.21000000000001,107316.0,2814.0,57643.0,77.79,67.92,86.14,1254.0,0.0,0.0,1.0,0.0
Emerson College,37.12,122064.0,3702.0,72119.0,78.53,41.05,80.32000000000001,1302.0,0.0,0.0,1.0,0.0
Indiana State University,75.19,89748.0,8897.0,22718.0,41.23,92.29,68.72,1107.1354610696178,0.0,0.0,0.0,1.0
University of Houston-Clear Lake,98.24,110544.0,6559.0,25567.0,51.98,80.73,76.98,1090.0,0.0,0.0,0.0,1.0
California State University-Fullerton,50.470000000000006,123972.0,36874.0,17791.0,68.67999999999999,67.62,88.94,1085.0,0.0,0.0,0.0,1.0
Northwestern Oklahoma State University,61.63999999999999,79044.0,1488.0,17928.0,25.81,70.26,61.7,1021.0,0.0,0.0,0.0,1.0
Whitworth University,95.83,88044.0,2359.0,60359.0,77.03999999999999,91.01,80.88,1171.0,0.0,0.0,1.0,0.0
University of Washington-Bothell Campus,66.46,136248.0,5618.0,23189.0,62.88,87.92999999999999,88.66000000000001,1158.0,0.0,0.0,0.0,1.0
