School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Oakland City University,26.090000000000003,69564.0,548.0,37683.0,56.92,63.31,85.44,1021.0,0.0,0.0,1.0,0.0
University of Mary Hardin-Baylor,100.0,96408.0,3310.0,42812.0,51.13,90.3,69.39999999999999,1105.0,0.0,0.0,1.0,0.0
East-West University,100.0,83100.0,419.0,29370.0,17.560000000000002,85.45888345051812,31.05,1016.1107874568603,0.0,0.0,1.0,0.0
Maharishi International University,89.29,43896.0,537.0,28730.0,42.86,100.0,46.67,1030.443156115536,0.0,0.0,1.0,0.0
Lindsey Wilson College,58.46,70536.0,1905.0,38208.0,39.84,66.3341835418101,68.14,1057.2602303497893,0.0,0.0,1.0,0.0
Tufts University,64.56,151392.0,6053.0,76151.0,93.91,16.3,92.24,1474.0,0.0,0.0,1.0,0.0
Goldey-Beacom College,28.09,101208.0,676.0,39197.0,51.24999999999999,55.21,76.28,1109.9937458370268,0.0,0.0,1.0,0.0
The College of Wooster,86.4,96108.0,1924.0,66108.0,73.99,65.3,87.08,1235.1238993447957,0.0,0.0,1.0,0.0
Truett McConnell University,100.0,52656.0,859.0,33299.0,34.78,97.29,78.97,1052.0,0.0,0.0,1.0,0.0
Philander Smith College,100.0,71652.0,796.0,26178.0,33.64,77.73662992567735,58.4,1092.6962077550543,0.0,0.0,1.0,0.0
Athens State University,50.0,104196.0,2629.0,46521.439996096306,65.89465947863606,68.98882674262224,82.98084121622063,1134.7280931641362,0.0,0.0,0.0,1.0
St. John's University-New York,44.98,148980.0,10350.0,55877.0,64.36,75.07000000000001,83.17,1198.0,0.0,0.0,1.0,0.0
Paul Smiths College of Arts and Science,78.95,63708.0,665.0,47001.0,54.73,67.42,73.19,1053.5292238777151,0.0,0.0,1.0,0.0
King University,68.49,62808.0,1360.0,42662.0,50.0,60.18,63.85999999999999,1097.0,0.0,0.0,1.0,0.0
