School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,Female_Majority,SAT Average,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Ivy League Plus
Alabama A & M University,AL,Public,99.6,91188.0,5090.0,23445.0,28.660000000000004,89.64999999999999,54.03,True,959.0,28400.0,35500.0,0
University of Alabama at Birmingham,AL,Public,76.19,136560.0,13549.0,25542.0,61.17,80.60000000000001,86.4,True,1245.0,39400.0,48400.0,0
University of Alabama in Huntsville,AL,Public,67.02,116364.0,7825.0,24861.0,57.14,77.11,81.8,False,1300.0,40300.0,52000.0,0
Alabama State University,AL,Public,67.97,86328.0,3603.0,21892.0,31.77,98.88,62.02,True,938.0,24400.0,30600.0,0
The University of Alabama,AL,Public,77.07000000000001,124188.0,30610.0,30016.0,72.14,80.39,87.22999999999999,True,1262.0,42400.0,51600.0,0
Athens State University,AL,Public,50.0,104196.0,2629.0,,,,,True,,36200.0,42400.0,0
Auburn University at Montgomery,AL,Public,70.87,92748.0,4301.0,20225.0,30.4,95.55,69.72,True,1061.0,32100.0,38000.0,0
Auburn University,AL,Public,86.53999999999999,128664.0,24368.0,32196.0,78.7,85.07000000000001,91.97,False,1302.0,43100.0,56300.0,0
Birmingham-Southern College,AL,Private NonProfit,77.7,83532.0,1129.0,32514.0,70.94,60.45,79.52,True,1202.0,36700.0,53100.0,0
South University-Montgomery,AL,Private ForProfit,14.08,59160.0,289.0,28761.0,14.29,,60.0,True,,32500.0,40200.0,0
Faulkner University,AL,Private NonProfit,53.900000000000006,71112.0,1834.0,34835.0,27.11,75.76,60.47,True,1068.0,33400.0,40700.0,0
Huntingdon College,AL,Private NonProfit,75.94999999999999,82632.0,917.0,37483.0,41.85,54.39000000000001,69.92,False,1101.0,34600.0,43600.0,0
Jacksonville State University,AL,Public,78.03,87912.0,6776.0,21560.0,45.51,63.690000000000005,73.38,True,1084.0,31800.0,38100.0,0
University of West Alabama,AL,Public,46.72,78612.0,2247.0,22645.0,40.11,93.13,62.5,True,1035.0,29700.0,40400.0,0
Miles College,AL,Private NonProfit,75.44999999999999,59652.0,1438.0,22684.0,23.51,,55.26,True,,23100.0,29500.0,0
University of Mobile,AL,Private NonProfit,100.0,63180.0,1164.0,36890.0,48.9,66.57,78.2,True,,32700.0,38700.0,0
University of Montevallo,AL,Public,64.71000000000001,91476.0,2186.0,26018.0,54.15,60.52,78.42,True,1131.0,28000.0,36100.0,0
University of North Alabama,AL,Public,66.31,107820.0,5411.0,21502.0,49.95,82.66,77.33,True,,32100.0,42800.0,0
Oakwood University,AL,Private NonProfit,80.07,56460.0,1320.0,37764.0,50.0,88.81,74.25,True,,25800.0,37400.0,0
Samford University,AL,Private NonProfit,98.73,108084.0,3573.0,49634.0,77.2,83.99,87.11,True,1219.0,45200.0,59800.0,0
University of South Alabama,AL,Public,62.8,90084.0,8787.0,21694.0,44.91,73.03,76.44,True,1162.0,35100.0,46800.0,0
Spring Hill College,AL,Private NonProfit,68.64,72480.0,1058.0,55844.0,56.91,54.16,81.16,True,1125.0,34800.0,51300.0,0
Stillman College,AL,Private NonProfit,72.88,63600.0,699.0,27665.0,21.51,55.53,56.28,True,,24900.0,33700.0,0
Talladega College,AL,Private NonProfit,56.940000000000005,73200.0,1142.0,24220.0,30.14,,64.56,True,,24200.0,23900.0,0
Troy University,AL,Public,53.75,81420.0,12294.0,21251.0,50.17,92.43,77.07000000000001,True,1094.0,34300.0,41100.0,0
Tuskegee University,AL,Private NonProfit,87.18,86688.0,2280.0,40750.0,51.89,61.13,77.03,True,1016.0,34500.0,42200.0,0
University of Alaska Anchorage,AK,Public,51.81,112500.0,8257.0,18946.0,30.12,76.83,68.19,True,,41500.0,51200.0,0
University of Alaska Fairbanks,AK,Public,61.31,115896.0,4259.0,19135.0,38.7,67.01,78.16,True,1138.0,36500.0,45100.0,0
Alaska Pacific University,AK,Private NonProfit,48.51,76080.0,298.0,34350.0,55.56,90.65,55.56,True,,37500.0,45300.0,0
Arizona State University Campus Immersion,AZ,Public,74.26,135000.0,62633.0,27056.0,66.01,88.37,86.2,False,1207.0,42200.0,55500.0,0
University of Arizona,AZ,Public,77.84,123660.0,34659.0,27461.0,64.89,85.13,85.47,True,1220.0,41800.0,56000.0,0
Embry-Riddle Aeronautical University-Prescott,AZ,Private NonProfit,72.2,111072.0,2959.0,54536.0,59.16,66.85,82.17999999999999,False,1238.0,51400.0,70300.0,0
Grand Canyon University,AZ,Private ForProfit,8.219999999999999,82440.0,62424.0,31376.0,46.57,80.69,73.55000000000001,True,,36000.0,58500.0,0
Northern Arizona University,AZ,Public,67.83,107172.0,24880.0,27969.0,56.87,81.64,76.25999999999999,True,,36900.0,44600.0,0
Prescott College,AZ,Private NonProfit,25.790000000000003,65076.0,413.0,43649.0,48.78,98.42,58.81999999999999,True,1141.0,28500.0,34300.0,0
Arizona Christian University,AZ,Private NonProfit,28.09,61224.0,883.0,44585.0,43.79,71.47,46.58,False,1031.0,32600.0,34900.0,0
University of Arkansas at Little Rock,AR,Public,100.0,117864.0,5620.0,20416.0,41.69,56.04,73.09,True,1098.0,34600.0,39500.0,0
University of Arkansas for Medical Sciences,AR,Public,88.24,121728.0,838.0,,,,,True,,68000.0,69000.0,0
Lyon College,AR,Private NonProfit,100.0,78576.0,665.0,41396.0,42.52,50.14999999999999,68.78999999999999,False,1198.0,31400.0,44800.0,0
University of Arkansas,AR,Public,88.25,119412.0,22624.0,23997.0,68.5,77.66999999999999,84.71,True,1236.0,40900.0,52700.0,0
University of Arkansas at Pine Bluff,AR,Public,80.62,70620.0,2440.0,19541.0,38.92,59.66,74.17,True,900.0,23900.0,30600.0,0
Arkansas State University,AR,Public,100.0,86880.0,7739.0,23009.0,53.010000000000005,67.19000000000001,79.05,True,1149.0,30900.0,36600.0,0
Arkansas Tech University,AR,Public,99.46,81948.0,7384.0,19361.0,44.22,97.66,67.21000000000001,True,,31600.0,38600.0,0
University of Central Arkansas,AR,Public,78.22,85992.0,8237.0,23185.0,45.73,93.78,78.84,True,1166.0,32600.0,42500.0,0
Central Baptist College,AR,Private NonProfit,26.47,66120.0,554.0,26390.0,38.46,49.81,56.73,False,1041.0,34200.0,43000.0,0
Crowley's Ridge College,AR,Private NonProfit,44.74,49584.0,172.0,23348.0,38.71,,74.07000000000001,False,,24200.0,29600.0,0
Harding University,AR,Private NonProfit,74.16,89904.0,3492.0,31647.0,71.52,55.06999999999999,86.82,True,1207.0,35600.0,47000.0,0
Henderson State University,AR,Public,99.52,80448.0,2603.0,23005.0,34.11,74.9,60.89,True,1098.0,29300.0,40400.0,0
Hendrix College,AR,Private NonProfit,100.0,89820.0,1065.0,64046.0,65.5,70.54,82.04,True,,35100.0,44500.0,0
John Brown University,AR,Private NonProfit,98.2,83244.0,1437.0,40774.0,64.47,58.86,86.16,True,1227.0,45300.0,55400.0,0
Ouachita Baptist University,AR,Private NonProfit,94.96,78120.0,1520.0,40200.0,60.48,61.77,81.41000000000001,True,1203.0,34600.0,46000.0,0
University of the Ozarks,AR,Private NonProfit,81.36,80160.0,831.0,34832.0,47.370000000000005,55.900000000000006,69.38,False,1070.0,28700.0,38600.0,0
Philander Smith College,AR,Private NonProfit,100.0,71652.0,796.0,26178.0,33.64,,58.4,True,,23600.0,27300.0,0
Williams Baptist University,AR,Private NonProfit,100.0,65124.0,580.0,30063.0,37.8,69.3,52.53,True,1088.0,29300.0,36400.0,0
Southern Arkansas University Main Campus,AR,Public,68.07,82668.0,3121.0,23044.0,42.61,68.53,71.50999999999999,True,1120.0,30400.0,39000.0,0
University of Arkansas-Fort Smith,AR,Public,69.46,84780.0,4615.0,17288.0,31.08,,73.50999999999999,True,,30700.0,35000.0,0
Academy of Art University,CA,Private ForProfit,25.16,87936.0,6024.0,43976.0,46.88,,70.39,True,,32800.0,47300.0,0
Art Center College of Design,CA,Private NonProfit,26.61,96108.0,1907.0,66046.0,71.43,76.09,77.99000000000001,True,,48800.0,62300.0,0
Azusa Pacific University,CA,Private NonProfit,42.77,109584.0,4498.0,56802.0,66.22,93.6,76.16000000000001,True,,48300.0,55900.0,0
Biola University,CA,Private NonProfit,100.0,88728.0,3683.0,58012.0,71.39999999999999,64.38000000000001,78.16,True,1196.0,38700.0,50700.0,0
California Baptist University,CA,Private NonProfit,42.09,121464.0,8093.0,48731.0,61.95,80.17999999999999,76.46,True,1064.0,40000.0,47500.0,0
California College of the Arts,CA,Private NonProfit,20.57,118872.0,1225.0,68956.0,67.03,85.45,70.56,True,,36200.0,48000.0,0
California Institute of Technology,CA,Private NonProfit,93.78,242736.0,901.0,74763.0,91.56,6.69,93.62,False,1566.0,68500.0,106300.0,1
California Lutheran University,CA,Private NonProfit,100.0,124572.0,2800.0,60668.0,70.86,74.39,78.83,True,1159.0,43700.0,60200.0,0
California Polytechnic State University-San Luis Obispo,CA,Public,69.69999999999999,127764.0,21451.0,28927.0,83.09,38.43,94.24,False,1325.0,54700.0,74300.0,0
California State University-Bakersfield,CA,Public,52.26,113868.0,9955.0,18661.0,46.29,78.38000000000001,82.59,True,,39100.0,50100.0,0
California State University-Stanislaus,CA,Public,51.95,115560.0,9855.0,17424.0,57.26,89.32,86.58,True,,39300.0,48500.0,0
California State University-San Bernardino,CA,Public,50.66,119316.0,17037.0,19114.0,58.74,78.12,84.75,True,988.0,37400.0,48800.0,0
California State Polytechnic University-Pomona,CA,Public,47.31,128124.0,27862.0,22365.0,67.4,64.81,87.03999999999999,False,1134.0,42900.0,58000.0,0
California State University-Chico,CA,Public,55.50000000000001,116184.0,15689.0,25073.0,65.14999999999999,90.17,83.5,True,1073.0,42900.0,55400.0,0
California State University-Dominguez Hills,CA,Public,44.11,118032.0,16013.0,15019.0,47.510000000000005,81.2,78.03999999999999,True,,38300.0,48500.0,0
California State University-Fresno,CA,Public,56.06,114540.0,22334.0,17683.0,57.54,90.11,86.79,True,996.0,37200.0,48500.0,0
California State University-Fullerton,CA,Public,50.470000000000006,123972.0,36874.0,17791.0,68.67999999999999,67.62,88.94,True,1085.0,38500.0,51800.0,0
California State University-East Bay,CA,Public,44.28,124284.0,13041.0,23357.0,46.75,73.28,78.02,True,,45200.0,58200.0,0
California State University-Long Beach,CA,Public,47.08,123252.0,34188.0,19846.0,73.33,42.120000000000005,88.89,True,1133.0,40000.0,53000.0,0
California State University-Los Angeles,CA,Public,44.87,122376.0,22820.0,15307.0,52.400000000000006,76.48,82.53,True,964.0,37200.0,49900.0,0
California State University-Northridge,CA,Public,46.63,123816.0,34881.0,19794.0,54.620000000000005,65.81,83.48,True,1006.0,37400.0,49700.0,0
