School Name,Mean Earnings (6 Yrs after Entry)
Waynesburg University,43800.0
Franklin University,42600.0
Rush University,67000.0
Flagler College,34900.0
Medaille College,35400.0
The University of Montana-Western,29300.0
Lake Superior State University,33000.0
University of San Diego,54800.0
Polytechnic University of Puerto Rico-Miami,26600.0
Haverford College,44100.0
Spring Hill College,34800.0
Amherst College,61600.0
The University of Alabama,42400.0
Pontifical Catholic University of Puerto Rico-Mayaguez,17700.0
Maranatha Baptist University,32400.0
University of Maine at Fort Kent,36000.0
Youngstown State University,32200.0
Abilene Christian University,38900.0
The College of Wooster,34300.0
University of Massachusetts-Lowell,45700.0
Oregon State University,42700.0
Lycoming College,36400.0
Tufts University,56600.0
Gwynedd Mercy University,48000.0
Eureka College,33200.0
Western Colorado University,32500.0
Voorhees College,22700.0
Greenville University,33200.0
University of Mount Olive,38000.0
Florida State University,39700.0
Siena College,46000.0
Pennsylvania College of Art and Design,24300.0
Baptist Health Sciences University,47100.0
Mount Saint Mary College,42900.0
Texas A & M University-Corpus Christi,39100.0
Rutgers University-Camden,48200.0
Strayer University-Delaware,38400.0
Benedictine College,35500.0
Caldwell University,36100.0
Pacific Union College,48600.0
American International College,41700.0
Austin College,39900.0
Herzing University-Minneapolis,30100.0
Dean College,28700.0
Muskingum University,34400.0
University of Missouri-Kansas City,44400.0
Paul Quinn College,26900.0
Strayer University-South Carolina,38400.0
Oakland University,39700.0
DeSales University,43000.0
University of Wisconsin-Platteville,41300.0
Marymount California University,34300.0
Hamline University,42800.0
Multnomah University,33300.0
Valdosta State University,33200.0
Mount Saint Joseph University,36100.0
Rollins College,40300.0
Southeastern Oklahoma State University,34300.0
Mount Carmel College of Nursing,54900.0
New York Institute of Technology,45500.0
Binghamton University,47700.0
Hebrew Theological College,25800.0
Wilberforce University,27300.0
Strayer University-New Jersey,38400.0
University of Illinois Springfield,38500.0
Mercy College of Health Sciences,44000.0
Rutgers University-New Brunswick,48200.0
Pennsylvania Academy of the Fine Arts,21200.0
Loyola Marymount University,53000.0
Colorado Technical University-Colorado Springs,34100.0
Dickinson State University,42300.0
Arkansas Tech University,31600.0
Saint Elizabeth University,39600.0
Franklin and Marshall College,49200.0
Academy of Art University,32800.0
Wesleyan College,27800.0
American University of Health Sciences,54900.0
SUNY College of Technology at Canton,31500.0
Life Pacific University,32800.0
Chestnut Hill College,33800.0
Morehead State University,30000.0
New Jersey City University,37200.0
Goucher College,31800.0
Emmanuel College,26700.0
Washington Adventist University,46700.0
Polytechnic University of Puerto Rico-Orlando,26600.0
Tougaloo College,25300.0
Merrimack College,47000.0
Edgewood College,41500.0
Antioch University-Santa Barbara,38800.0
The University of the Arts,26600.0
California State University-Dominguez Hills,38300.0
West Virginia University Institute of Technology,39300.0
Charleston Southern University,32400.0
Cox College,41100.0
The University of Tennessee-Martin,30800.0
Southwestern Adventist University,39000.0
Massachusetts College of Art and Design,31200.0
University of Health Sciences and Pharmacy in St. Louis,104500.0
Rowan University,39800.0
University of Oregon,39800.0
Westminster College,36000.0
University of Phoenix-Hawaii,34200.0
American Academy of Art College,27700.0
Davis College,21600.0
Spalding University,38000.0
High Point University,38000.0
Dillard University,27600.0
Lewis-Clark State College,33700.0
Logan University,40900.0
Trine University,40000.0
Colorado School of Mines,74700.0
Minneapolis College of Art and Design,32700.0
Salem College,29800.0
Bluefield State College,29600.0
Uta Mesivta of Kiryas Joel,23600.0
University of Oklahoma-Norman Campus,48600.0
Heritage University,31600.0
Messiah University,38200.0
University of North Carolina at Chapel Hill,49900.0
Manhattan Christian College,30600.0
Miami University-Middletown,40800.0
University of Evansville,40700.0
Johnson & Wales University-Charlotte,33400.0
California State University-Chico,42900.0
Mercy College of Ohio,46000.0
Western Carolina University,33400.0
Paine College,21400.0
Saint Joseph's College of Maine,42500.0
SUM Bible College and Theological Seminary,25100.0
University of Arkansas,40900.0
Presentation College,38600.0
Grinnell College,36700.0
Southern University at New Orleans,26800.0
Samford University,45200.0
West Coast University-Los Angeles,71900.0
SUNY at Purchase College,31300.0
Beulah Heights University,29800.0
Dartmouth College,74600.0
St Olaf College,41500.0
Oklahoma State University-Main Campus,42600.0
Simmons University,49700.0
Eastern New Mexico University-Main Campus,29200.0
William & Mary,47400.0
Bucknell University,62400.0
Bellin College,54700.0
Saint Louis Christian College,27600.0
Houston Baptist University,39400.0
