School Name,Mean Earnings (10 Yrs after Entry)
Clarks Summit University,35200.0
Eastern Oregon University,44100.0
East Carolina University,45800.0
Trinity Christian College,44600.0
Saint Francis Medical Center College of Nursing,58100.0
Miami University-Middletown,55400.0
Hodges University,43600.0
Texas A & M University-College Station,67800.0
The University of Alabama,51600.0
Universidad Ana G. Mendez-Carolina Campus,22700.0
Albertus Magnus College,56000.0
Ohio Dominican University,47100.0
University of Louisville,48600.0
Spring Hill College,51300.0
Pepperdine University,77600.0
Lycoming College,49400.0
McNeese State University,45000.0
Trine University,49600.0
Barclay College,32500.0
SUNY Cortland,49200.0
Bethany College,45100.0
Laguna College of Art and Design,41400.0
Nicholls State University,43800.0
Caribbean University-Bayamon,21400.0
Virginia State University,38400.0
Mercy College of Ohio,49500.0
Illinois Wesleyan University,67300.0
Charleston Southern University,40600.0
Wiley College,30700.0
Wofford College,59800.0
Webster University,47900.0
Long Island University,58400.0
The University of Tennessee Southern,36300.0
Rowan University,55400.0
Framingham State University,49000.0
Wright State University-Lake Campus,46100.0
Menlo College,59700.0
Chatham University,43400.0
Mansfield University of Pennsylvania,41300.0
Nazarene Bible College,34400.0
Johnson & Wales University-Charlotte,42200.0
Molloy College,64100.0
San Francisco Conservatory of Music,30800.0
Strayer University-West Virginia,53500.0
University of Mary,53000.0
Hobart William Smith Colleges,62700.0
Blackburn College,41700.0
Nyack College,46700.0
Albany College of Pharmacy and Health Sciences,114200.0
Thomas Jefferson University,99300.0
Keystone College,36800.0
Oklahoma Panhandle State University,40800.0
Minnesota State University Moorhead,44900.0
Benedictine College,45000.0
University of South Florida,48500.0
Eagle Gate College-Murray,31600.0
Hiram College,46900.0
The University of Tennessee-Martin,40100.0
DeSales University,54700.0
Cornell College,45400.0
University of North Carolina Wilmington,46600.0
Upstate Medical University,117300.0
The College of Westchester,42500.0
Lindenwood University,47000.0
Lander University,38100.0
Bucknell University,82400.0
Polytechnic University of Puerto Rico-Miami,36300.0
University of Central Arkansas,42500.0
Indiana University of Pennsylvania-Main Campus,44200.0
University of Cincinnati-Main Campus,49700.0
Art Center College of Design,62300.0
Marietta College,57700.0
Montana Technological University,52100.0
Louisiana College,48300.0
Kansas Wesleyan University,43300.0
Chamberlain University-Virginia,60400.0
Ottawa University-Ottawa,48100.0
Northwestern College,40200.0
Voorhees College,26100.0
Drake University,68700.0
Emerson College,51200.0
Indiana State University,42600.0
University of Houston-Clear Lake,52900.0
California State University-Fullerton,51800.0
Northwestern Oklahoma State University,41700.0
Whitworth University,48000.0
University of Washington-Bothell Campus,69600.0
Carson-Newman University,41300.0
Indiana Institute of Technology,49400.0
Louisiana State University-Alexandria,36300.0
Granite State College,39300.0
Southeastern Oklahoma State University,41000.0
West Virginia Wesleyan College,48800.0
Strayer University-Texas,53500.0
Siena Heights University,45300.0
University of Washington-Seattle Campus,69600.0
Campbellsville University,35400.0
Sierra Nevada University,46600.0
Missouri Valley College,38100.0
Mills College,49500.0
Saint Vincent College,52100.0
Mount Marty University,39400.0
Mid-Atlantic Christian University,33000.0
Hanover College,51600.0
Barnes-Jewish College Goldfarb School of Nursing,59500.0
The University of Texas Medical Branch at Galveston,76800.0
Ashland University,42900.0
College of Charleston,48700.0
Temple University,59000.0
Kutztown University of Pennsylvania,43900.0
Union College,80200.0
Cazenovia College,38800.0
Alcorn State University,35000.0
Washington State University,56600.0
Tougaloo College,32400.0
California State University-Fresno,48500.0
Franklin and Marshall College,69200.0
Arlington Baptist University,38000.0
SUNY College of Technology at Canton,39600.0
Southwestern Oklahoma State University,48200.0
Norwich University,57100.0
University of Arkansas at Pine Bluff,30600.0
Strayer University-Arkansas,53500.0
Colby College,71000.0
University of Maine,48300.0
Manchester University,43600.0
Columbia Central University-Caguas,25000.0
University of Florida,65700.0
Samford University,59800.0
Linfield University-School of Nursing,60300.0
Grambling State University,32800.0
Vanderbilt University,86200.0
University of Denver,65400.0
