School Name,Mean Earnings (10 Yrs after Entry)
Oakland City University,37200.0
University of Mary Hardin-Baylor,48700.0
East-West University,29000.0
Maharishi International University,30400.0
Lindsey Wilson College,31300.0
Tufts University,103300.0
Goldey-Beacom College,48800.0
The College of Wooster,53000.0
Truett McConnell University,37100.0
Philander Smith College,27300.0
Athens State University,42400.0
St. John's University-New York,62400.0
Paul Smiths College of Arts and Science,38400.0
King University,50300.0
Louisiana State University Health Sciences Center-New Orleans,99800.0
Inter American University of Puerto Rico-Metro,23500.0
Bridgewater State University,47900.0
Washington & Jefferson College,60100.0
Iowa State University,56000.0
Saint Joseph's College of Maine,47000.0
CUNY York College,45300.0
Texas Tech University,61600.0
Stephen F Austin State University,46400.0
Christopher Newport University,52000.0
CUNY City College,50900.0
Eastern Illinois University,46000.0
The New England Conservatory of Music,41200.0
Eastern University,48100.0
York College of Pennsylvania,52200.0
University of Richmond,78900.0
Ohio Wesleyan University,51600.0
Crown College,40100.0
Hilbert College,47700.0
American InterContinental University-Houston,45200.0
Lebanon Valley College,48500.0
Northern Kentucky University,41800.0
Wisconsin Lutheran College,45300.0
College of Biblical Studies-Houston,42800.0
Columbia International University,31400.0
Golden Gate University,82300.0
Babson College,113300.0
Texas Lutheran University,51100.0
Bay Path University,44800.0
Delaware Valley University,44700.0
Northwest Nazarene University,46300.0
Talmudical Seminary Oholei Torah,30500.0
Trinity Baptist College,33300.0
Hallmark University,37500.0
Trinity Bible College and Graduate School,31700.0
Ursinus College,61800.0
Bloomfield College,42700.0
CUNY Hunter College,51800.0
The University of Montana-Western,36700.0
Northpoint Bible College,33500.0
Montclair State University,52400.0
Saginaw Valley State University,42700.0
Wagner College,64700.0
Bushnell University,45700.0
Marian University,46600.0
California State University-Bakersfield,50100.0
Calvin University,48700.0
Bethune-Cookman University,32300.0
Chicago State University,38200.0
University of the Virgin Islands,35500.0
Rasmussen University-Florida,34300.0
Franklin Pierce University,45000.0
Shorter University,50100.0
Lincoln Christian University,37000.0
Bluefield State College,31900.0
MCPHS University,106500.0
Cornerstone University,40800.0
Dominican University,49900.0
Oklahoma Baptist University,45000.0
Barnard College,69700.0
Southern Utah University,45500.0
University of Minnesota-Twin Cities,61200.0
Brescia University,48000.0
Sentara College of Health Sciences,53900.0
Carnegie Mellon University,103000.0
The University of Texas Health Science Center at Houston,138400.0
Villanova University,87600.0
Warren Wilson College,29500.0
Post University,46500.0
College of Mount Saint Vincent,61000.0
Pitzer College,51500.0
CUNY Bernard M Baruch College,63600.0
The University of Texas at Austin,73900.0
South Dakota School of Mines and Technology,62400.0
Dakota Wesleyan University,40900.0
University of the Potomac-Washington DC Campus,54600.0
Pacific Northwest College of Art,37400.0
Frostburg State University,47200.0
Northwest Missouri State University,43700.0
Northwestern State University of Louisiana,39600.0
Citadel Military College of South Carolina,59600.0
California State University-Sacramento,54200.0
University of the Cumberlands,38200.0
Point Park University,42400.0
Grand Canyon University,58500.0
Davis & Elkins College,40200.0
Beth Medrash Govoha,43700.0
University of Science and Arts of Oklahoma,36400.0
Beulah Heights University,36900.0
University of Michigan-Ann Arbor,79000.0
New York University,78600.0
Ave Maria University,33700.0
Strayer University-Alabama,53500.0
West Virginia University,52700.0
Macalester College,55800.0
Strayer University-North Carolina,53500.0
University of Phoenix-Arizona,54900.0
Erskine College,41500.0
Wade College,29800.0
Saint Elizabeth University,49200.0
University of Maryland Eastern Shore,40400.0
Baker University,59500.0
Alfred University,47300.0
Occidental College,59400.0
Columbus State University,38800.0
Marian University,46700.0
Kansas State University,51900.0
Valley City State University,41700.0
The University of Findlay,49100.0
Notre Dame of Maryland University,56400.0
Polytechnic University of Puerto Rico-Orlando,36300.0
Rutgers University-Newark,68100.0
Huntingdon College,43600.0
Western Colorado University,43400.0
Miami International University of Art & Design-Art Institute Dallas,40200.0
Ottawa University-Milwaukee,48100.0
Ohio State University-Main Campus,53600.0
Oral Roberts University,43100.0
The University of Montana,43300.0
Roger Williams University,56000.0
Vanguard University of Southern California,48800.0
La Salle University,61100.0
Boise State University,43100.0
Southwestern College,54000.0
Cleveland State University,46400.0
Saint Louis University,64900.0
Goshen College,42400.0
University of Louisiana at Lafayette,46400.0
Boston University,75900.0
The North Coast College,30300.0
Florida International University,52000.0
The University of Tennessee-Chattanooga,42600.0
School of Visual Arts,47800.0
Medaille College,44200.0
Multnomah University,38100.0
University of Phoenix-Hawaii,54900.0
Western Governors University,48100.0
Bethany Lutheran College,37600.0
Whittier College,50900.0
LaGrange College,45700.0
Benedictine University,56400.0
North Carolina State University at Raleigh,59500.0
Misericordia University,54400.0
Northland College,35500.0
Allen College,52800.0
SUNY Polytechnic Institute,55900.0
New England College,44700.0
Central Christian College of Kansas,34800.0
College of Coastal Georgia,32800.0
University of Puget Sound,59100.0
St Catherine University,51100.0
Warner University,42500.0
Bethel University,43100.0
Millsaps College,54500.0
University of Tulsa,60500.0
Wellesley College,71800.0
Florida State University,53900.0
Union University,49600.0
California State University-Northridge,49700.0
Eastern Connecticut State University,49000.0
Williams Baptist University,36400.0
University of Nebraska Medical Center,108500.0
Brandeis University,69000.0
Lincoln University,36200.0
Cleary University,59500.0
Strayer University-District of Columbia,53500.0
Pacific Oaks College,43100.0
University of Delaware,64000.0
Southwest Baptist University,37400.0
Embry-Riddle Aeronautical University-Daytona Beach,70300.0
Norfolk State University,38800.0
