School Name,Mean Earnings (10 Yrs after Entry)
Waynesburg University,51200.0
Franklin University,53800.0
Rush University,125000.0
Flagler College,42200.0
Medaille College,44200.0
The University of Montana-Western,36700.0
Lake Superior State University,42000.0
University of San Diego,71100.0
Polytechnic University of Puerto Rico-Miami,36300.0
Haverford College,75100.0
Spring Hill College,51300.0
Amherst College,83300.0
The University of Alabama,51600.0
Pontifical Catholic University of Puerto Rico-Mayaguez,21400.0
Maranatha Baptist University,38700.0
University of Maine at Fort Kent,37700.0
Youngstown State University,40200.0
Abilene Christian University,48900.0
The College of Wooster,53000.0
University of Massachusetts-Lowell,57200.0
Oregon State University,56700.0
Lycoming College,49400.0
Tufts University,103300.0
Gwynedd Mercy University,56500.0
Eureka College,40500.0
Western Colorado University,43400.0
Voorhees College,26100.0
Greenville University,39900.0
University of Mount Olive,43700.0
Florida State University,53900.0
Siena College,62300.0
Pennsylvania College of Art and Design,30600.0
Baptist Health Sciences University,56000.0
Mount Saint Mary College,51700.0
Texas A & M University-Corpus Christi,48600.0
Rutgers University-Camden,68100.0
Strayer University-Delaware,53500.0
Benedictine College,45000.0
Caldwell University,48700.0
Pacific Union College,61700.0
American International College,50000.0
Austin College,52800.0
Herzing University-Minneapolis,41600.0
Dean College,38100.0
Muskingum University,43500.0
University of Missouri-Kansas City,57200.0
Paul Quinn College,29800.0
Strayer University-South Carolina,53500.0
Oakland University,48100.0
DeSales University,54700.0
University of Wisconsin-Platteville,51200.0
Marymount California University,42000.0
Hamline University,55500.0
Multnomah University,38100.0
Valdosta State University,41600.0
Mount Saint Joseph University,44600.0
Rollins College,53100.0
Southeastern Oklahoma State University,41000.0
Mount Carmel College of Nursing,58100.0
New York Institute of Technology,68100.0
Binghamton University,68100.0
Hebrew Theological College,26700.0
Wilberforce University,38400.0
Strayer University-New Jersey,53500.0
University of Illinois Springfield,49900.0
Mercy College of Health Sciences,48000.0
Rutgers University-New Brunswick,68100.0
Pennsylvania Academy of the Fine Arts,26300.0
Loyola Marymount University,71600.0
Colorado Technical University-Colorado Springs,51300.0
Dickinson State University,49300.0
Arkansas Tech University,38600.0
Saint Elizabeth University,49200.0
Franklin and Marshall College,69200.0
Academy of Art University,47300.0
Wesleyan College,37600.0
American University of Health Sciences,37800.0
SUNY College of Technology at Canton,39600.0
Life Pacific University,34400.0
Chestnut Hill College,46800.0
Morehead State University,37000.0
New Jersey City University,46000.0
Goucher College,55100.0
Emmanuel College,35400.0
Washington Adventist University,46300.0
Polytechnic University of Puerto Rico-Orlando,36300.0
Tougaloo College,32400.0
Merrimack College,62200.0
Edgewood College,47600.0
Antioch University-Santa Barbara,41800.0
The University of the Arts,39100.0
California State University-Dominguez Hills,48500.0
West Virginia University Institute of Technology,52700.0
Charleston Southern University,40600.0
Cox College,42700.0
The University of Tennessee-Martin,40100.0
Southwestern Adventist University,47100.0
Massachusetts College of Art and Design,40700.0
