School Name,Mean Earnings (10 Yrs after Entry)
Saginaw Valley State University,42700.0
Centre College,53800.0
SUNY Empire State College,46800.0
Boise Bible College,32700.0
West Coast University-Dallas,67700.0
California State University-East Bay,58200.0
Marian University,46600.0
St. Mary's University,52000.0
Concordia University-Chicago,42700.0
Iowa Wesleyan University,39900.0
Kentucky State University,31300.0
Ohio Dominican University,47100.0
University of Delaware,64000.0
Baker College,31800.0
Thomas University,37400.0
University of the Ozarks,38600.0
Athens State University,42400.0
SUNY College at Oswego,47100.0
Endicott College,56200.0
The University of Tennessee-Knoxville,56700.0
Western Kentucky University,38600.0
Lock Haven University,43400.0
Cedar Crest College,48700.0
University of Rhode Island,58400.0
Faith Baptist Bible College and Theological Seminary,38700.0
Maine Maritime Academy,107200.0
Brigham Young University-Hawaii,49100.0
Anna Maria College,48100.0
Southwestern University,63400.0
Herzing University-Kenosha,41600.0
Hilbert College,47700.0
DePaul University,60200.0
Springfield College,48500.0
Indiana University of Pennsylvania-Main Campus,44200.0
Boston University,75900.0
Virginia Wesleyan University,44100.0
University of North Carolina at Greensboro,40900.0
Jackson State University,33700.0
Mercy College,44600.0
United States University,
Chamberlain University-Georgia,60400.0
University of Louisville,48600.0
Bennett College,32700.0
Texas A & M International University,46700.0
Montana State University Billings,38700.0
Dominican University of California,63600.0
University of Mary Washington,56200.0
Mayville State University,43300.0
Cambridge College,40000.0
North Central University,35800.0
The College of Idaho,47300.0
Pacific Lutheran University,53500.0
Southeastern University,37900.0
Black Hills State University,40500.0
Bluffton University,41700.0
Neumann University,47200.0
Temple University,59000.0
Columbia University in the City of New York,115600.0
Mercyhurst University,44200.0
Converse University,34800.0
College of Charleston,48700.0
CUNY Brooklyn College,48800.0
Albion College,55700.0
Reed College,52700.0
Indiana University-Northwest,40400.0
California Lutheran University,60200.0
New Mexico Institute of Mining and Technology,58500.0
Barry University,50900.0
Blessing Rieman College of Nursing and Health Sciences,51000.0
Ottawa University-Online,48100.0
Warner University,42500.0
Fairleigh Dickinson University-Metropolitan Campus,54400.0
Savannah College of Art and Design,41400.0
Lakeview College of Nursing,67600.0
University of Utah,63500.0
Manhattanville College,50700.0
Methodist University,43700.0
Olivet Nazarene University,44000.0
Averett University-Non-Traditional Programs,49000.0
Eastern University,48100.0
Northwood University,54900.0
Vassar College,61500.0
Alice Lloyd College,41600.0
University of Virginia's College at Wise,43800.0
Denver College of Nursing,
CEM College-San Juan,22300.0
St Bonaventure University,52700.0
University of Washington-Tacoma Campus,69600.0
Paier College,33900.0
Massachusetts Institute of Technology,153600.0
Soka University of America,
University of the Pacific,84200.0
Williams College,89800.0
Claflin University,30700.0
Fisk University,36300.0
Meredith College,43500.0
Chamberlain University-Ohio,60400.0
Western Oregon University,43400.0
Bowie State University,48700.0
Oberlin College,45500.0
McNeese State University,45000.0
Morris College,25600.0
California State University-Los Angeles,49900.0
Campbellsville University,35400.0
Thiel College,41700.0
Embry-Riddle Aeronautical University-Prescott,70300.0
Jarvis Christian University,27500.0
South Dakota State University,50200.0
South Dakota School of Mines and Technology,62400.0
Clark Atlanta University,38200.0
South University-Savannah Online,40200.0
Concordia University-Saint Paul,57100.0
Strayer University-Florida,53500.0
